iter	Logloss
0	0.6607970094
1	0.6322911798
2	0.6079136045
3	0.585981614
4	0.5667879052
5	0.5504834819
6	0.5365508715
7	0.5228794292
8	0.5114928695
9	0.5018595214
10	0.493163122
11	0.4853828677
12	0.4781341008
13	0.4714891825
14	0.4657061081
15	0.4608339835
16	0.4563016163
17	0.4523385684
18	0.4485422486
19	0.4454456154
20	0.4424644229
21	0.439829478
22	0.4371233933
23	0.4346783093
24	0.432460207
25	0.430688605
26	0.4288207656
27	0.427089027
28	0.4256604782
29	0.4242784431
30	0.4228626695
31	0.4216340023
32	0.4203792629
33	0.4194575241
34	0.4184571294
35	0.4175422318
36	0.4166343567
37	0.4157678902
38	0.4149520444
39	0.4142330155
40	0.4134927648
41	0.4128021666
42	0.4122941039
43	0.4116476209
44	0.4110566465
45	0.4103879152
46	0.4097472458
47	0.4093125954
48	0.4087260508
49	0.4082904841
50	0.4077420044
51	0.4072615353
52	0.4068911453
53	0.4064478461
54	0.4060089277
55	0.40557114
56	0.4051425375
57	0.4046958463
58	0.4043555235
59	0.4040733294
60	0.4037314433
61	0.4033231686
62	0.4029317801
63	0.4025492435
64	0.402317812
65	0.4019212006
66	0.4016333506
67	0.4013222599
68	0.4010236379
69	0.4006642533
70	0.4003552869
71	0.4000263964
72	0.3997186751
73	0.399426138
74	0.3990683543
75	0.3987787971
76	0.3985161452
77	0.3983217321
78	0.3981277951
79	0.3978829187
80	0.3976278685
81	0.3974005328
82	0.3971409547
83	0.3968154007
84	0.3964886131
85	0.3962827638
86	0.3959762668
87	0.3957142647
88	0.3955546949
89	0.3952825725
90	0.3950492607
91	0.3948757693
92	0.3946529803
93	0.3944805554
94	0.3942088188
95	0.3939970646
96	0.3937899548
97	0.3936180347
98	0.3934441796
99	0.3932215575
100	0.3930591487
101	0.3929055417
102	0.3926985242
103	0.3924238089
104	0.392271756
105	0.3921331725
106	0.3919306783
107	0.3917011478
108	0.3915297485
109	0.3912664861
110	0.3910810526
111	0.3908939553
112	0.3907049105
113	0.3905074466
114	0.3903204523
115	0.3901052402
116	0.3900420272
117	0.3898399561
118	0.3897056553
119	0.3895586306
120	0.3892645066
121	0.3891173913
122	0.3890857799
123	0.3888870289
124	0.3886995118
125	0.3885497135
126	0.3883747469
127	0.3881471854
128	0.3878747343
129	0.387736146
130	0.3875048087
131	0.3874003972
132	0.3872233744
133	0.3870330023
134	0.3868217201
135	0.3866153731
136	0.3863860735
137	0.386284375
138	0.3860936983
139	0.385968821
140	0.3858126645
141	0.3857574971
142	0.3856225329
143	0.3854053919
144	0.3852183145
145	0.3850647387
146	0.3847834605
147	0.3846452789
148	0.3845400043
149	0.3843872791
150	0.3843099192
151	0.3841926856
152	0.3840060282
153	0.3838394801
154	0.3836773816
155	0.3835444195
156	0.383321415
157	0.3831528813
158	0.382922756
159	0.3827317315
160	0.3825042989
161	0.3822515813
162	0.3821442159
163	0.3820201974
164	0.3818058143
165	0.3816761956
166	0.3815375459
167	0.3814774917
168	0.381287401
169	0.3811364993
170	0.3809886437
171	0.3807477232
172	0.3806208532
173	0.3803288765
174	0.3801695161
175	0.3799783176
176	0.3798504814
177	0.3797649137
178	0.3796604691
179	0.3795223592
180	0.379335184
181	0.3792311868
182	0.3789846791
183	0.3787870329
184	0.3786713803
185	0.378475765
186	0.3783742585
187	0.378232125
188	0.3780732413
189	0.3779597533
190	0.3778100285
191	0.3776215992
192	0.3774687019
193	0.377295348
194	0.3772328583
195	0.377101026
196	0.3769337499
197	0.3767719885
198	0.3766838188
199	0.3765655813
200	0.3764689161
201	0.3762821867
202	0.3760500465
203	0.3759761768
204	0.3757712844
205	0.375631998
206	0.3755087648
207	0.3753568972
208	0.3752031764
209	0.3749564495
210	0.374735298
211	0.3746179511
212	0.3744565026
213	0.3743403681
214	0.3742027258
215	0.3740298744
216	0.3738819979
217	0.3737576305
218	0.3735214626
219	0.373296402
220	0.3731928655
221	0.3729962796
222	0.3728919074
223	0.3727880945
224	0.3725769585
225	0.3724338914
226	0.3722546756
227	0.3720585196
228	0.3718999178
229	0.3717694286
230	0.3716030259
231	0.3714206738
232	0.3712617654
233	0.3711186576
234	0.3709058762
235	0.370719871
236	0.3705917711
237	0.3703984311
238	0.3702332792
239	0.3701238237
240	0.3700515495
241	0.3698827729
242	0.3695619399
243	0.3695458755
244	0.3694542769
245	0.3693216229
246	0.3691724913
247	0.368972378
248	0.3688666092
249	0.3687473796
250	0.3686045719
251	0.3685123859
252	0.3682987557
253	0.3681672016
254	0.3680224571
255	0.3678151454
256	0.3676928894
257	0.3675794372
258	0.3674060798
259	0.3671750774
260	0.3669808177
261	0.3668295099
262	0.3667045795
263	0.3665960651
264	0.366388366
265	0.3662539186
266	0.3660912504
267	0.3660651259
268	0.3658719273
269	0.3658604687
270	0.3656774696
271	0.3655164338
272	0.3654863499
273	0.365347839
274	0.3651922614
275	0.3651505315
276	0.3649144952
277	0.3647709322
278	0.3645876808
279	0.3644295427
280	0.3643131663
281	0.3642813991
282	0.3641799781
283	0.3641306838
284	0.3640368991
285	0.3638789369
286	0.3638020872
287	0.3637971365
288	0.3636712462
289	0.3635823453
290	0.3635052412
291	0.3635019361
292	0.3633421867
293	0.3631590593
294	0.3631565903
295	0.3629846139
296	0.3629816855
297	0.3627976206
298	0.3627387142
299	0.3625964152
300	0.3625479058
301	0.3625313765
302	0.3625279752
303	0.3623050841
304	0.3621407379
305	0.3619870962
306	0.3618780048
307	0.3617105855
308	0.3617080943
309	0.3615546195
310	0.3615525802
311	0.3614585396
312	0.3613725178
313	0.3613688727
314	0.3612475539
315	0.3610402282
316	0.360877484
317	0.3607532161
318	0.3605839687
319	0.3604784785
320	0.3603617862
321	0.3603294284
322	0.3601280458
323	0.3601080464
324	0.3599433716
325	0.3598602793
326	0.3597324937
327	0.3596166439
328	0.3594519737
329	0.3592877012
330	0.3592137823
331	0.3590313033
332	0.3588869528
333	0.3586017767
334	0.3584119935
335	0.3584049712
336	0.3582660025
337	0.3580889825
338	0.3579384882
339	0.3577799111
340	0.357650816
341	0.3575506812
342	0.3574598299
343	0.3573048409
344	0.3570889828
345	0.3570391596
346	0.3568468672
347	0.3566514617
348	0.3565487656
349	0.3563799256
350	0.3562411383
351	0.356125332
352	0.3559248589
353	0.3558077875
354	0.3556854631
355	0.3555740188
356	0.3554128467
357	0.3552623417
358	0.3550964738
359	0.3550513173
360	0.3549921548
361	0.3548677633
362	0.3547099917
363	0.3547071572
364	0.3544774653
365	0.3544058257
366	0.3542132342
367	0.3541531419
368	0.3541401215
369	0.3539569573
370	0.3539502825
371	0.3537544796
372	0.3536643073
373	0.3535395495
374	0.3534825285
375	0.3532630258
376	0.3531229708
377	0.3530295585
378	0.352870521
379	0.3527441749
380	0.3525324369
381	0.35240286
382	0.3524006818
383	0.3522370452
384	0.3520885496
385	0.3519814577
386	0.3518988988
387	0.3518010697
388	0.351796554
389	0.3516682065
390	0.3515683627
391	0.3514754479
392	0.3513668927
393	0.3512775301
394	0.3510326302
395	0.3509295515
396	0.3508261151
397	0.3508229518
398	0.3507627779
399	0.3507022831
400	0.3505563765
401	0.3503481632
402	0.35032801
403	0.3502968399
404	0.3502720732
405	0.3501169899
406	0.350115096
407	0.3500205335
408	0.3498706996
409	0.349864528
410	0.3498628606
411	0.3497973743
412	0.3496209863
413	0.349463919
414	0.3493162702
415	0.3491452535
416	0.3490106979
417	0.3488619526
418	0.3487747302
419	0.3486968327
420	0.3486873241
421	0.3485485204
422	0.3485459813
423	0.3483274688
424	0.3482350444
425	0.3482171908
426	0.3480620026
427	0.3478902695
428	0.3478176323
429	0.3477032452
430	0.3475460671
431	0.3473538362
432	0.3472683954
433	0.3471410044
434	0.3470433355
435	0.3470223604
436	0.3468560232
437	0.3466872117
438	0.3464826697
439	0.3462860775
440	0.3461533783
441	0.346042225
442	0.3459135874
443	0.345898907
444	0.345719966
445	0.3456179934
446	0.3455076434
447	0.3453906546
448	0.3452689958
449	0.3451528763
450	0.3450409998
451	0.3449106714
452	0.3448147858
453	0.3447969358
454	0.3446990309
455	0.3446611726
456	0.3445068105
457	0.3443997978
458	0.344334277
459	0.3441971849
460	0.3441510346
461	0.3440754409
462	0.3439444001
463	0.3438058706
464	0.3435932185
465	0.343510025
466	0.3434562773
467	0.3433959517
468	0.3432797871
469	0.3432669771
470	0.3432569106
471	0.3431305122
472	0.3430757691
473	0.3429867306
474	0.3428571304
475	0.3427079315
476	0.342553624
477	0.3424218393
478	0.3422757729
479	0.3422167433
480	0.3422153653
481	0.3420512985
482	0.3420434424
483	0.3419485879
484	0.3418177422
485	0.341681168
486	0.3415270749
487	0.3414065667
488	0.3413462515
489	0.3413221708
490	0.3412554262
491	0.3412395702
492	0.3410955524
493	0.3410830852
494	0.3408737199
495	0.3407535336
496	0.3406368648
497	0.3405040643
498	0.3403323832
499	0.3402844588
